change_date,change_type,listing_id,category,listing_type,property_type,title,price_prev,price_curr,price_delta,price_delta_pct,currency,price_period,area_size,area_unit,beds_min,beds_max,baths_min,city,area,community,sub_community,compound,latitude,longitude,developer,project_name,agency_name,agent_name,agent_phone,furnished,completion_status,permit_number,rera_number,amenities,share_url,first_seen_at,last_seen_at,days_on_market,scraped_at
2026-07-19,new,51000081,,,Apartment,Fully Furnished Flats In Prime Location Juffair,,370.0,,,BHD,monthly,,,,,,,,,,,26.211111068725586,50.601112365722656,,,,Mahmood  Saeed,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-2Oa7eMsJeFs.html,2026-07-19T20:58:26.466026+00:00,2026-07-19T20:58:26.466026+00:00,0,2026-07-19T20:58:26.466026+00:00
2026-07-19,new,51000161,,,Apartment,Luxury Fully Furnished Apartment for Rent,,350.0,,,BHD,monthly,,,,,,,,,,,26.203079223632812,50.594947814941406,,,,Mahmood  Saeed,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-um-al-hasam-2OWrD9cZzwO.html,2026-05-31T13:58:31.068517+00:00,2026-07-19T20:58:26.466026+00:00,49,2026-07-19T20:58:26.466026+00:00
2026-07-19,new,51004149,,,Apartment,Apartment for Rent – Aáli very close to main road,,150.0,,,BHD,monthly,,,,,,,,,,,26.1634578704834,50.515289306640625,,,,Mahmood  Saeed,,NO,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-central-governorate-a-ali-2Oa7arZFBLc.html,2026-05-31T13:58:31.068517+00:00,2026-07-19T20:58:26.466026+00:00,49,2026-07-19T20:58:26.466026+00:00
2026-07-19,new,51234314,,,Apartment,Spacious 3 BHK Large Size Flats for Rent in Sanad,,180.0,,,BHD,monthly,,,,,,,,,,,26.149999618530273,50.58333206176758,,,,salman siraj,,NO,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-central-governorate-sanad-2PYQmrRR8ds.html,2026-06-05T20:36:54.354740+00:00,2026-07-19T20:58:26.466026+00:00,44,2026-07-19T20:58:26.466026+00:00
2026-07-19,new,51262992,,,Apartment,MODERN| Spacious | 2BEDROOM APARTMENT | INCLUSIVE,,220.0,,,BHD,monthly,,,,,,,,Riffa Views,,,26.097333908081055,50.56736373901367,,,,Ayman Jnedi,,PARTLY,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-southern-governorate-riffa-riffa-views-2PZRAAnpkP2.html,2026-07-19T20:58:26.466026+00:00,2026-07-19T20:58:26.466026+00:00,0,2026-07-19T20:58:26.466026+00:00
2026-07-19,new,51292760,,,Apartment,Apartment Of 3 Bedrooms for Rent – Hamad Town,,170.0,,,BHD,monthly,,,,,,,,,,,26.12916374206543,50.49860763549805,,,,Mahmood  Saeed,,NO,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-northern-governorate-hamad-town-2Pb4ASmgyDw.html,2026-05-31T13:58:31.068517+00:00,2026-07-19T20:58:26.466026+00:00,49,2026-07-19T20:58:26.466026+00:00
2026-07-19,new,51352944,,,Apartment,Spacious Big 2 BHK Flat For Rent In West Riffa,,200.0,,,BHD,monthly,,,,,,,,West Riffa,,,26.123153686523438,50.54193878173828,,,,salman siraj,,NO,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-southern-governorate-riffa-west-riffa-2PefJoQfume.html,2026-06-05T20:36:54.354740+00:00,2026-07-19T20:58:26.466026+00:00,44,2026-07-19T20:58:26.466026+00:00
2026-07-19,new,51383324,,,Apartment,Beautiful 2 BHK APARTMENT/ BALCONY,,39000.0,,,BHD,sell,,,,,,,,,,,26.21263313293457,50.67418670654297,,,,A. Mhaout,,NO,completed,,,,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-hidd-2PgzYZDRi2y.html,2026-05-31T13:58:31.068517+00:00,2026-07-19T20:58:26.466026+00:00,49,2026-07-19T20:58:26.466026+00:00
2026-07-19,new,51412132,,,Apartment,Apartment for Rent – Aáli Good Opportunity,,160.0,,,BHD,monthly,,,,,,,,,,,26.1634578704834,50.515289306640625,,,,Mahmood  Saeed,,NO,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-central-governorate-a-ali-2Phim1gVIXo.html,2026-05-31T13:58:31.068517+00:00,2026-07-19T20:58:26.466026+00:00,49,2026-07-19T20:58:26.466026+00:00
2026-07-19,new,51412368,,,Office Space,Office for Rent – Tubli Area Prime Location,,220.0,,,BHD,monthly,,,,,,,,,,,26.188888549804688,50.54999923706055,,,,Mahmood  Saeed,,NO,,,,,https://www.propertyfinder.bh/en/plp/commercial-rent/office-space-for-rent-central-governorate-tubli-2PhnAhH2CkC.html,2026-05-31T13:58:31.068517+00:00,2026-07-19T20:58:26.466026+00:00,49,2026-07-19T20:58:26.466026+00:00
