change_date,change_type,listing_id,category,listing_type,property_type,title,price_prev,price_curr,price_delta,price_delta_pct,currency,price_period,area_size,area_unit,beds_min,beds_max,baths_min,city,area,community,sub_community,compound,latitude,longitude,developer,project_name,agency_name,agent_name,agent_phone,furnished,completion_status,permit_number,rera_number,amenities,share_url,first_seen_at,last_seen_at,days_on_market,scraped_at
2026-05-31,new,015b4026-38b0-44ff-9db9-4525f5284a1b,,,apartment,Bahrain Marina Residence,,100000.0,,,BHD,,,,,,,,,,,,26.2949264734,50.6598687012,,,,Bahrain Marina Development,,,under_construction,,,,/en/new-projects/bahrain-marina-development/bahrain-marina-residence,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
2026-05-31,new,01980ea3-2fc6-4cff-8b49-80c1ecc92042,,,apartment,Marassi Views,,67888.0,,,BHD,,,,,,,,,,,,26.303447,50.6461278,,,,Eagle Hills,,,under_construction,,,,/en/new-projects/eagle-hills/marassi-views,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
2026-05-31,new,07757fae-324f-42d4-ab10-0d9af6ae2ff6,,,,Marassi Terraces,,52888.0,,,BHD,,,,,,,,,,,,26.303447,50.6461278,,,,Eagle Hills,,,completed,,,,/en/new-projects/eagle-hills/marassi-terraces,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
2026-05-31,new,1000005,,,,,,,,,BHD,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
2026-05-31,new,1000018,,,,,,,,,BHD,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
2026-05-31,new,1000031,,,,,,,,,BHD,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
2026-05-31,new,1000038,,,,,,,,,BHD,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
2026-05-31,new,1000039,,,,,,,,,BHD,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
2026-05-31,new,1000043,,,,,,,,,BHD,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
2026-05-31,new,1000044,,,,,,,,,BHD,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
2026-05-31,new,1000045,,,,,,,,,BHD,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-31T13:58:31.068517+00:00,2026-05-31T13:58:31.068517+00:00,0,2026-05-31T13:58:31.068517+00:00
